id,articleId,article_createdAt,articleType,text,replyId,replyType,reply_createdAt,reply_type,latency_hours,text_preview,scam_hits,pol_hits,health_hits,rule_topic,election_cycle
1,23w45v2k2m42g,2023-12-09 09:09:56.762000+00:00,TEXT,"當今新疆類似1945年之前的原住民區
當今到十年後的新疆
類似台灣1945年至台灣民主化前的原住民
中國能給台灣原住民如同新疆一樣的自治區",ovZuTowBAjOeMOkl-nPQ,RUMOR,2023-12-09 11:55:45.231000+00:00,RUMOR,2.763463611111111,"當今新疆類似1945年之前的原住民區
當今到十年後的新疆
類似台灣1945年至台灣民主化前的原住民
中國能給台灣原住民如同新疆一樣的自治區",0,1,0,political,2024
2,10ox81ilpzc5o,2024-01-02 02:04:39.342000+00:00,TEXT,"因為我美甲薪水沒有很穩定..所以我有跟廠商配合在賣大漢酵素的強效威能飲
如果可以的話能幫我捧場一盒就好嗎..含運費是1079🥺
我知道很突然..但如果你願意幫我的話 看你哪天有空我們可以一起出去吃飯逛逛 我再順便請你喝杯飲料好好謝謝你..可以嘛..",QvdE6YwBAjOeMOklZzBq,NOT_ARTICLE,2024-01-08 13:30:23.466000+00:00,NOT_ARTICLE,155.42892333333333,"因為我美甲薪水沒有很穩定..所以我有跟廠商配合在賣大漢酵素的強效威能飲
如果可以的話能幫我捧場一盒就好嗎..含運費是1079🥺
我知道很突然..但如果你願意幫我的話 看你哪天有空我們可以一起出去吃飯逛逛 我再順便請你喝杯飲料好好謝謝你..可以嘛..",1,0,0,scam,2024
3,2ijpzntpql6y5,2020-04-07 14:54:11.330000+00:00,TEXT,"題外話。
寒軒也即將要收了。
各位身邊若還有寒軒餐券記得盡快使用完畢",LA5RbXEBrhVJn3LNbODb,NOT_ARTICLE,2020-04-12 07:36:25.050000+00:00,NOT_ARTICLE,112.70381111111112,"題外話。
寒軒也即將要收了。
各位身邊若還有寒軒餐券記得盡快使用完畢",0,0,0,other,2020
4,w6eh4qmzidm8,2020-01-28 04:41:53.619000+00:00,TEXT,"非常重要請仔細聽完、攸關生命安全

現任萬海航運總經理，兒子是留美醫生，昨天傍晚特轉語音提醒。

請轉告提醒身旁的親朋好友們警慎防護",hGN36m8Bd3n3h-WYeuos,RUMOR,2020-01-28 04:44:56.235000+00:00,RUMOR,0.0507266666666666,"非常重要請仔細聽完、攸關生命安全

現任萬海航運總經理，兒子是留美醫生，昨天傍晚特轉語音提醒。

請轉告提醒身旁的親朋好友們警慎防護",0,0,0,other,2020
5,uvkeajyi4u9n,2024-03-29 07:11:41.783000+00:00,TEXT,https://t1.twvoteping.life/?fbclid=IwAR2nycbA0cHoch_WpYAlgZrB7r4RTPPVXl5z43H4tREDCrOc7tQD-8E3pac_aem_AdvrKLcYl8g2ZjlV6cxW2VPP4zUVqk0H_NWb10e0hyyoEs3cJ0WV7Q7KCtay1SOvIAaqknHo-XaTzDQJ2Sz-ys00,4BEWno4B0DEb0v6ccxGu,RUMOR,2024-04-02 09:14:15.342000+00:00,RUMOR,98.04265527777778,https://t1.twvoteping.life/?fbclid=IwAR2nycbA0cHoch_WpYAlgZrB7r4RTPPVXl5z43H4tREDCrOc7tQD-8E3pac_aem_AdvrKLcYl8g2ZjlV6cxW2VPP4zUVqk0H_NWb10e0hyyoEs3cJ0WV7Q7KCtay1SOvIAaqknHo-XaTzDQJ2Sz-ys00,0,0,0,other,2024
6,20c202qx1i942,2023-11-15 07:41:13.635000+00:00,TEXT,"台電新的電價調整政策
15:30—21:30
一度9.29/元
變向漲價。近4倍之多",R_V51YsBAjOeMOkldOLC,RUMOR,2023-11-16 00:13:08.673000+00:00,RUMOR,16.531955,"台電新的電價調整政策
15:30—21:30
一度9.29/元
變向漲價。近4倍之多",0,0,0,other,2024
7,31tndjnwnxg1s,2020-01-08 22:13:18.648000+00:00,TEXT,"新疆沙漠竟下雪了，美到爆！
http://mp.weixin.qq.com/s?__biz=MjM5OTAwMjIzNw==&mid=401530329&idx=1&sn=e8a972c938104eef343a069ef2d2d591&scene=0#wechat_redirect",BF79h28Bd3n3h-WYqTbu,NOT_RUMOR,2020-01-09 01:49:05.901000+00:00,NOT_RUMOR,3.596459166666667,"新疆沙漠竟下雪了，美到爆！
http://mp.weixin.qq.com/s?__biz=MjM5OTAwMjIzNw==&mid=401530329&idx=1&sn=e8a972c938104eef343a069ef2d2d591&scene=0#wechat_redirect",0,0,0,other,2020
8,2260pff5kev0o,2020-03-30 07:37:39.180000+00:00,TEXT,【疫情曙光】零死亡零住院　紐約醫師分享武漢肺炎療法 https://tw.appledaily.com/new/realtime/20200330/1725590/,NAnlKnEBrhVJn3LNI3fV,OPINIONATED,2020-03-30 10:03:12.212000+00:00,OPINIONATED,2.4258422222222222,【疫情曙光】零死亡零住院　紐約醫師分享武漢肺炎療法 https://tw.appledaily.com/new/realtime/20200330/1725590/,0,0,2,health,2020
9,h4f7mjxw95n3,2023-12-18 14:20:51.174000+00:00,TEXT,https://youtube.com/shorts/xpFmr91cyOw?si=WsVYyv7RdOczQ04Y,UvbogowBAjOeMOklgbIa,RUMOR,2023-12-19 16:28:44.696000+00:00,RUMOR,26.13153388888889,https://youtube.com/shorts/xpFmr91cyOw?si=WsVYyv7RdOczQ04Y,0,0,0,other,2024
10,1j8auh1rqdtry,2020-01-30 11:12:58.263000+00:00,TEXT,https://www.facebook.com/morgan.lin.5220/posts/10157874019299659,W2Qv9m8Bd3n3h-WYEKhx,RUMOR,2020-01-30 11:21:17.167000+00:00,RUMOR,0.1385844444444444,https://www.facebook.com/morgan.lin.5220/posts/10157874019299659,0,0,0,other,2020
