id,text_preview,latency_hours,reply_type,rule_topic
1,這次的疫情真的不是開玩笑！沒有封釘 沒有腳尾飯  沒有子孫拜別，確診死亡直接送火化。,4.05647,RUMOR,other
2,https://www.facebook.com/1585260481768080/photos/a.1656319731328821/2111535465807243/?type=3&theater,0.6549658333333334,NOT_ARTICLE,other
3,https://read01.com/24dnMz.html,2665.4190327777774,NOT_ARTICLE,other
4,"温馨提醒：
   下雨天過馬路不可踏上斑馬線的白漆面，非常滑，影片中這位年青人因踩上白漆面而滑倒，後腦勺著地，短短一分鐘生命结束。人的生命，是那麼的脆弱，要好好珍惜。斑馬線不是白漆，是用陶瓷粉塗料刷上去的，使用時就是經過高溫噴出來，冷卻後就固结在地面上。下雨時的確很滑，千萬要小心！行人專用道也要小心！！！",126.29603527777778,RUMOR,other
5,"根據指揮中心最新公布，感染Omicron有99.77%症狀輕微，其中又以咳嗽、喉嚨痛、流鼻水/鼻塞、發燒等最為常見。但也有不少人反應「喉嚨痛如刀割、咳到肺快掉出來」，除了吃藥外，中醫師廖敏君、許宜潔也分享「染疫後穴位按摩指南」，當確診後出現5症狀提供適合的穴位按壓，有助緩解不適，吸引不少網友分享轉發。

中醫師廖敏君及許宜潔近日在臉書上分享「染疫後自我穴位按摩」攻略，並針對頭痛身體痛發燒、喉嚨腫痛",3110.8161969444445,RUMOR,health
6,麻煩大家廣發，有夠離譜，從紙箱夾層拉出一大堆票您不覺得他手上的票太平整了一點？太誇張了，完全平整的嚇人，沒有辦法整張放入，必須要折疊才能塞入投票孔，這樣平整的票，實在是少見，這整疊作弊重回2020時期,4.086085555555555,RUMOR,political
7,"赴日注意！韓遊客呼籲千萬別戴「金項鍊」：被當罪犯看待 | TVBS | LINE TODAY

https://liff.line.me/1454987169-1WAXAP3K/v2/article/wJz192G?utm_source=lineshare",5.853469722222223,NOT_RUMOR,other
8,75%酒精對病毒有很好的消毒效果，酒精是消毒品也是易燃品。當75%的酒精噴灑在空氣中，空氣中遇到火燃點的話很容易燃爆。,29.44221111111112,RUMOR,health
9,"*祝福您，*
3天後，冬至快樂！
5天後，平安夜平平安安！
6天後，聖誕節快快樂樂！
13天後元旦快樂！
36天後除夕夜快樂！
37天後农历新年快樂！
51元宵節快樂！
57天後情人節快樂！

我就不信有人比我更早祝福你，
轉給你最好的朋友，
❤💖💝🎉🎊🎆🎆
*今天收到請盡快發，遲發時間日期就不對呀！*",6.488526944444445,NOT_ARTICLE,other
10,"遠雄海洋公園為慶祝主題園20週年，特別在12/14(三)當天舉辦現場優惠及活動：
活動一、凡設籍花蓮或身份證號碼U開頭之鄉親，現場需出示相關證件，即可免費暢遊遠雄海洋公園！

活動二、12/14當天入園前1000位者(3歲以下兒童恕不發送)，就有機會抽價值NT$90,000遠雄悅來大飯店總統套房一晚+遠雄海洋公園年票一名。遠雄海洋公園年票二名。
活動方式：

1.當日入園前1000名遊客，發每人一",5.003336111111111,NOT_RUMOR,scam
11,"荔枝不能空腹吃 印度百名孩童半夜抽搐亡 #LINETODAY

https://today.line.me/TW/article/6ce763a90e62d884d3f0449e2b1dd977318f035fe1b7054e3c78e0fb2e2c2511?openExternalBrowser=1",165.92329750000002,RUMOR,other
12,"武漢肺炎疫情不只口罩就連酒
精、酒精棉月到處缺貨,中央
政府一再呼簽民眾不要恐慌、
不要囤貨,但市面上就是買不
到貨,台酒今(9)日宣饰,明日
起在台酒全台的便利店、展售
中心和營業所上架,首批由屏
東酒廠所生產的36000瓶75度
防疫酒精,每瓶容量為
600ml,售價是75元,每人限
購2瓶,日後會再有四個廠投入
生產,請民眾不必囤貨。",6.441000833333333,NOT_RUMOR,health
13,"有腎臟病者，見楊桃，務必「羊逃」哦~

#臺北蘆洲譽平書齋 
#網傳影片盧笑長整理潤詞後發文 
#銘傳大學風險管理與保險學系盧教授關心並提醒您 ！",3783.9394713888887,NOT_RUMOR,other
14,"瀾滄人民醫院: 昨天凌晨二點二十三分, 十三名男女生感染 SK5 病毒死亡, 最大的 32 歲, 最小的 5  歲, 參與搶救的醫生已被隔離, 中央 1 台電視新聞己播出, 暫時別吃豬肉, 特別是乳源的豬肉, 目前廣西貴港已有 13,167 個已感染.  收到馬上發給你關心的人, 最好是群發.  為了您的健康, 請轉發吧, 少買豬肉吃.  看了快轉, 幫別人等於幫自己",1.777471111111111,RUMOR,health
15,"香蕉放久營養差很大 挑這天吃熱量最低 - 健康 - 中時新聞網
https://www.chinatimes.com/realtimenews/20201024000082-260418",236.279155,NOT_RUMOR,health
16,https://youtu.be/c46ZvGoZ7Mo,4.573597777777778,RUMOR,other
17,宜蘭昨早，有人好不容易花時間完成五倍券聯邦信用卡綁定，下午詐騙公司就上門，真的恐怖呦！,2.351767222222222,OPINIONATED,scam
18,"自從臺灣社會開始以獵巫手法，針對軍公教退俸展開無理砍殺開始，我就預見到最後，必將影響到國家安全。

曾有很多同僚師長，遊說我去政論節目為袍澤們發聲，但我自許是研究安全與戰略，退俸非我專長，與名嘴無理糾纏更是浪費唇舌，所以堅持不去與之起舞。

儘管我尊重袍澤們走上街頭的無奈與選擇，甚至亦曾幫忙提供過參考意見，但我本身不願加入行列，因為我有我的堅持。

下面這篇美國學者分析文稿，已經明白指出，砍殺退俸",1297.7120391666667,NOT_RUMOR,other
19,"核對期數正確 金額輸入100 下滑選取 漲/跌 點正確下注
042期 漲+100
043期 跌+100
044期 漲 +100

學習完三期完成後 記得回報右上角總金額給我!!",6.362801388888888,RUMOR,other
20,明天默寫考國文課外閱讀第八課第一首將進酒前四行             君不見！黃河之水天上來，奔流到海不復回？                          君不見！高堂明鏡悲白髮，朝如青絲暮成雪？                         人生得意須盡歡，莫使金樽空對月。                                          天生我材必有用，千金散盡還復來,7.684036388888889,NOT_ARTICLE,other
21,"轉傳：

師父最近有看到新聞報導佛光山有意要引進美國嬌生的五十萬劑疫苗嗎？原本只是想說為什麼會是佛光山這個角色，後來我看到人家寫的一篇文章講述了佛光山與美國藥廠的脈絡和其投資方法，挺有意思的，分享給師父看：

外界大多不知道，佛光山並不只是南部高雄的那個佛光山。
除了有非常廣大的「國際功德主人脈」之外，佛光山甚至在「國際藥廠領域」當中也有特殊角色，甚至這是一個長達三十年以上的緊密關係。
佛光山體系",4.6110066666666665,RUMOR,scam
22,"不是什麼很麻煩的事情，很簡單的呢，只會耽誤你幾分鐘的時間，我的老師林基忠他跟我說明天下午17:30分-18:00左右 有重要的國際黃金交易，我想把我的交易賬戶給你 你來幫我操作交易可以嗎？我賬戶內存有資金 供你交易使用...
我現在頭腦里總是回想起爸爸當初出車禍 離開的畫面。
我擔心自己情緒控制不好，醫院的網路也非常差，會影響明天的交易，所以就想讓你幫我代為操作不用擔心虧損啦~我都很信任的把自己的",1335.5155191666668,RUMOR,scam
23,"天氣太熱她20分鐘喝下近2000C.C的水　美國女子水中毒送醫不治 - Yahoo奇摩新聞

https://ynews.page.link/GkzDT",52.43556194444444,NOT_RUMOR,other
24,"轉傳∼COVID-19疫苗衛教資訊包

(7/14更新)
整理清楚，台大家醫共筆聯名支援

http://dl99.tzuchi-healthcare.org.tw/tchw/pdf/COVID-19%E7%96%AB%E8%8B%97%E6%87%B6%E4%BA%BA%E5%8C%85%E8%B3%87%E8%A8%8A%E5%A4%A7%E5%85%A8.pdf
",5.153958055555555,NOT_RUMOR,health
25,15人食物中毒　豪鼎北新館即日起暫停營業 http://m.appledaily.com.tw/realtimenews/article/new/20170531/1130007/?utm_source=Line&utm_medium=MWeb_Share&utm_campaign=http%3A%2F%2Fwww.appledaily.com.tw%2Frealtimenews%2Farticl,1024.0421841666666,NOT_RUMOR,other
26,"人們死於 mRNA 疫苗損傷的心臟，新的同行評審的德國研究提供了直接證據

泰勒·杜登

2022 年 12 月 15 日，星期四 - 下午 04:30

由 Jennifer Margulis 和 Joe Wang 撰寫

德國海德堡海德堡大學醫院的醫學病理學家 發表了直接證據，證明人們在接種 mRNA 疫苗後死亡是如何被發現的。正如這個由六名科學家組成的團隊在他們的研究中探索的那樣，這些接種了",78.55336000000001,RUMOR,health
27,且在開始接單工作之前也都會有影片教學教你怎麼一步一步完成呦！,5053.665240555556,RUMOR,other
28,"終於有人把膽固醇造成心臟病的騙局翻譯出來了！
https://youtu.be/pzgC3aSqqtk",4333.596675,RUMOR,other
29,"😕只有十三國提案的國際現實
      南朝梁武帝篤信佛教，廣建廟宇供養僧人無數，所以杜牧有詩：「南朝四百八十寺，多少樓台煙雨中」。梁武帝與達摩見面時，沾沾自喜地告訴達摩自己修建了多少佛寺，供養了大量僧人，抄錄了許多經卷，並且經常辦理大規模的佈施。然後問達摩：「如此功德多否」？達摩回答：「並無功德」，二人不歡而散。
      其實達摩這句「並無功德」就是在點化梁武帝，真正的慈悲不是說嘴炫誇，不是",53.34521805555556,OPINIONATED,other
30," 自我检查是否感染新冠病毒
     这个方法来自疾控中心的工作人员，他把这个方法传给了他的家人和朋友，然后在网上传播开来。
    新冠状病毒感染后，有可能在许多天内不显示出感染的迹象，当出现发烧和/或咳嗽的症状后再去医院的时候，肺部通常有50%的纤维化，已经太迟了！
    怎么才能尽早地知道自己是否感染新冠病毒了呢？
    有专家提供了一个我们每天早上都能做的简单的自我检查方法：
深吸一口",0.2102227777777778,RUMOR,health
31,https://youtu.be/NU0SGUDwic4?si=9uBY3doyPqzZGXkV,0.409355,RUMOR,other
32,"親愛的顧客您好，

感謝您於四月份承租「大義蘆竹公埔六福」停車場的月租車位。

由於車場方通知，自五月份起將進行車格調整與限縮。您目前的月租使用將至 2025 年 4 月 30 日為止，系統亦不會進行自動續約。客服人員試圖以電話聯繫您說明相關情況但未能接通，因此特此以文字方式通知您。如您有任何疑問或需進一步協助，歡迎隨時聯繫睿太數位客服：02-2325-8589，我們將竭誠為您服務。

感謝您的理",1.933585833333333,RUMOR,other
