id,articleId,article_createdAt,articleType,text,replyId,replyType,reply_createdAt,reply_type,latency_hours,text_preview,scam_hits,pol_hits,health_hits,rule_topic,year,stratum,cohort,sample_mode
1,3qxamn7tv2oc7,2025-07-09 04:26:17.415000+00:00,TEXT,"👹👹您好！
我是高嘉煒有限公司。
感謝您加入好友(moon wink)

請問你是來了解免費輔助金的嗎？",A8DnBZoBWwAUNc5bqZdd,RUMOR,2025-10-21 08:34:19.612000+00:00,RUMOR,2500.133943611111,"👹👹您好！
我是高嘉煒有限公司。
感謝您加入好友(moon wink)

請問你是來了解免費輔助金的嗎？",1,0,0,scam,2025,2025|scam,recent,recent
2,10kzoozkq55bi,2025-11-09 13:07:39.340000+00:00,TEXT,"新聞爆出超商毒雞蛋

1、四日鮮蛋/10粒裝（溯源碼I47045-251103C）

2、巨的卵（白殼雞蛋）/10粒裝（I47045-251103C）

3、大巨蛋（白殼雞蛋）/10粒裝（溯源碼I47045-251023C、I47045-251027C、I47045-251030C、I47045-251103C）

4、悠活鮮蛋（白殼雞蛋）/10粒裝（溯源碼I47045-251023C）

5、富翁洗選蛋（白殼雞蛋）/10粒裝（溯源碼I47045-251023C、I47045-251030C）

6、初卵頭窩蛋（白殼雞蛋）/10粒裝（溯源碼I47045-251023C）

7、四季巨蛋（白殼）/10粒裝（溯源碼I47045-251023C）

8、香草園洗選蛋/10顆（溯源碼I47045-251027C、I47045-251103C）

9、鮮健蛋品洗選蛋（白殼雞蛋）/10粒裝（溯源碼I47045-251027C、I47045-251030C、I47045-251103C）

食藥署請消費者停止使用上述雞蛋，請通路商全面提供退貨回收服務，並將持續與地方政府衛生局執行市售雞蛋農藥殘留之抽驗，確保食品安全，讓消費者可以安心選購",mrUxa5oBiuCfV4cp9mJw,NOT_RUMOR,2025-11-10 00:37:07.823000+00:00,NOT_RUMOR,11.49124527777778,"新聞爆出超商毒雞蛋

1、四日鮮蛋/10粒裝（溯源碼I47045-251103C）

2、巨的卵（白殼雞蛋）/10粒裝（I47045-251103C）

3、大巨蛋（白殼雞蛋）/10粒裝（溯源碼I47045-251023C、I47045-251027C、I47045-251030C、I47045-251103C）

4、悠活鮮蛋（白殼雞蛋）/10粒裝（溯源碼I47045-251023C）

5、富",0,0,0,other,2025,2025|other,recent,recent
3,3txdbxgpvm59r,2026-01-13 21:55:04.359000+00:00,TEXT,https://youtu.be/PuhogL5i8xQ?si=29qgwC8tR7UwxvHo,yrBgPJwBRkUkW3J-dyit,RUMOR,2026-02-08 08:31:21.001000+00:00,RUMOR,610.6046227777778,https://youtu.be/PuhogL5i8xQ?si=29qgwC8tR7UwxvHo,0,0,0,other,2026,2026|other,recent,recent
4,lt1lmg8zm12k,2025-05-29 05:14:03.392000+00:00,TEXT,https://youtu.be/LRlI_ui0BPg?si=zoXrpBdem4hocenV,v12vO5cBfs35m9MiqXCK,RUMOR,2025-06-04 16:04:17.417000+00:00,RUMOR,154.83722916666667,https://youtu.be/LRlI_ui0BPg?si=zoXrpBdem4hocenV,0,0,0,other,2025,2025|other,recent,recent
5,38r6dikharuo,2026-03-22 14:24:32.080000+00:00,TEXT,每天抽3個小時幫忙 時薪250 周領,Lkg2GJ0BB0eXeo82yDOK,RUMOR,2026-03-23 01:02:16.713000+00:00,RUMOR,10.629064722222225,每天抽3個小時幫忙 時薪250 周領,0,0,0,other,2026,2026|other,recent,recent
6,2y5ri5y70myhf,2025-12-07 04:36:12.966000+00:00,TEXT,"黑咖啡+它，腎臟毒素排光光！腎臟科醫師公開「救命黑咖啡」喝法，抗發炎、通血管、狂降壞膽固醇！#洗腎 #糖尿病 #高血壓 #黑咖啡
https://www.youtube.com/watch?v=wlvh5FtLxmo",7f7F95oBNXI5ecaqlrex,RUMOR,2025-12-07 07:45:12.874000+00:00,RUMOR,3.149974444444444,"黑咖啡+它，腎臟毒素排光光！腎臟科醫師公開「救命黑咖啡」喝法，抗發炎、通血管、狂降壞膽固醇！#洗腎 #糖尿病 #高血壓 #黑咖啡
https://www.youtube.com/watch?v=wlvh5FtLxmo",0,0,1,health,2025,2025|health,recent,recent
7,2u1vr68zr9rst,2025-11-11 09:48:27.843000+00:00,TEXT,好的 你運氣真的很好哦  竟然被你抽中了 別人抽了很多次都沒抽到,5rXacpoBiuCfV4cpynDz,RUMOR,2025-11-11 12:18:52.787000+00:00,RUMOR,2.5069288888888885,好的 你運氣真的很好哦  竟然被你抽中了 別人抽了很多次都沒抽到,0,0,0,other,2025,2025|other,recent,recent
8,s2few4bepvsg,2026-03-17 14:51:49.287000+00:00,TEXT,"LINE真的要開始收費了！官方證實：會員制很快就來、每月收165元
https://www.nownews.com/news/6796823",Z0iiDp0BB0eXeo82wCVl,OPINIONATED,2026-03-21 04:24:00.356000+00:00,OPINIONATED,85.53640805555555,"LINE真的要開始收費了！官方證實：會員制很快就來、每月收165元
https://www.nownews.com/news/6796823",0,0,0,other,2026,2026|other,recent,recent
9,2xgmq4t9sctbk,2026-04-03 10:39:08.713000+00:00,TEXT,⚠️2026年各國開始實施.超過70歲，長者必需索取「適航申請書」請醫師評估簽章。沒有證明. 機票將會作廢！,DMzuU50BZgZZYBoaiQQt,RUMOR,2026-04-03 15:20:34.860000+00:00,RUMOR,4.690596388888889,⚠️2026年各國開始實施.超過70歲，長者必需索取「適航申請書」請醫師評估簽章。沒有證明. 機票將會作廢！,0,0,1,health,2026,2026|health,recent,recent
10,2uz95l18l9x8i,2025-09-18 04:45:40.234000+00:00,TEXT,"明天手機會響三次哦
是在預演地震海嘯手機通知訊息哦
第一次響是9點半左右
第二次響是10點左右
第三次響是結除預演好像是10點半左右哦
請各位手機響時千萬不要嚇了一跳哦",MoCnXZkB29ocKseu2Qbp,OPINIONATED,2025-09-18 16:28:25.448000+00:00,OPINIONATED,11.712559444444445,"明天手機會響三次哦
是在預演地震海嘯手機通知訊息哦
第一次響是9點半左右
第二次響是10點左右
第三次響是結除預演好像是10點半左右哦
請各位手機響時千萬不要嚇了一跳哦",0,0,0,other,2025,2025|other,recent,recent
11,3slaa64dpf0jp,2025-07-19 23:30:50.778000+00:00,TEXT,https://tw.news.yahoo.com/%E8%94%A3%E6%89%B9%E8%AC%8A%E8%A8%80-%E7%9B%A7%E4%BF%83%E6%9F%A5%E9%8C%A2%E5%88%B0%E5%93%AA%E8%A3%A1%E5%8E%BB%E4%BA%86-201000687.html,JujHMpgBDktNo1Yhr-Em,OPINIONATED,2025-07-22 15:36:44.069000+00:00,OPINIONATED,64.09813638888889,https://tw.news.yahoo.com/%E8%94%A3%E6%89%B9%E8%AC%8A%E8%A8%80-%E7%9B%A7%E4%BF%83%E6%9F%A5%E9%8C%A2%E5%88%B0%E5%93%AA%E8%A3%A1%E5%8E%BB%E4%BA%86-201000687.html,0,0,0,other,2025,2025|other,recent,recent
