gold_id,cohort,era,articleId,latency_hours,deepseek,consensus,others_consensus,vote_gemini,vote_glm,vote_gpt,vote_grok,vote_opus,vote_qwen,text_preview,human_label,human_notes
85,recent,post,o1abaph9q54y,6247.472915555555,health,scam,scam,scam,scam,scam,scam,scam,scam,"親愛的客戶： 
 
我們已確認您目前使用的帳戶已被多台裝置存取。出於安全考慮，您的服務將被暫時中止，直至我們確認您是該帳戶的合法所有",,
87,recent,post,3dfgqkl6y3oyc,1.1768891666666668,other,scam,scam,scam,scam,scam,scam,scam,scam,那這邊我先帶妳申請一個紀錄薪資的職員帳號 每次完成的薪水都會累積在上面,,
92,recent,post,lhvzejgexqah,1506.1356091666669,political,other,other,other,other,other,other,other,other,"緊急通知⚠️

中國大陸所有的機場
行動電源（充電寶）沒有三個C的標誌的,
安檢時一律不準帶上飛機，安全人員說這是昨天晚上發布的命令，全中國大陸機場都一樣。",,
95,recent,post,sz9xy6821six,16.545711944444445,other,scam,scam,scam,scam,health,scam,health,scam,"您好，我是男性健康管理師高木 智彥，專注於男性生理狀態的調整和優化。

請問您目前最想要了解的是：
 (1) 如何科學地提升尺寸？
 (2) 如何有效延長時間？
 (3) 如何改善硬度和勃起品質？

您可以直接回復數字，我會根據您的需求提供專業建議",,
97,recent,post,3qyo624mq6q0q,713.8752094444445,other,health,health,health,health,health,health,health,health,"醫院骨科主任寫給中壯年的公開信￼

現在少子化、退休族群要懂得照顧自己、不要跌倒、要小心再小心、自己安全顧好，就不會拖累伴侶和子女、要健康平安、才能走的遠、樂活自在

醫院骨科主任寫給所有老年人（60-100歲及以上）的一封信…

 *如何減少意外傷害？*

 *我總結出來的所謂秘密有七個字，那就是：*

 *「小心，小心，再小心」！*

 *具體措施包括：*

 *1. 切勿站在椅子或凳子上拿東",,
100,recent,post,34nyb8onluquc,129.55360416666667,health,political,political,political,political,political,political,political,political,"@ 2025/07/02 轉貼
（彭夫人之死）～不寫政治文，寫的是「良知」

文／Jason。250702。

前言：

三峽烈日像烙鐵，灼熱著整個城市。但今天，壓在我心頭的，不是氣溫，而是一則新聞——讓我決定，動筆。

許多警界老同事、好朋友都勸我：「你該經常寫文章啊，我們知道你能寫，而且總是能寫進我們的心坎裡。」
但是我真的非常不願意寫政治文，因為政治實在太汚濁、太黑暗了。

尤其台灣這幾年，",,
107,recent,post,t4hmv9oxli0m,1.649876111111111,other,scam,scam,scam,scam,other,scam,scam,scam,"高瀚輿kao han yu您好！
我是環綺國際貿易股份有限公司。
感謝您加入好友(moon wink)

您好 我是環綺國際貿易股份有限公司的咨詢專員  (love letter)
歡迎您的咨詢(gift)(stars)",,
110,recent,post,1cp3prqc65fyl,7.691203333333333,other,political,political,political,political,political,political,political,political,"聽說在台北延平南路的國軍演練，慘不忍睹！媒體封鎖，沒人敢報導。
尚未查證，不知真假？",,
112,recent,post,1xojlxik9w5pw,265.77579166666663,scam,other,other,other,other,other,other,other,other,https://youtu.be/QdazLpUka5w?si=0ozPG6iUV7P0kQ0v,,
118,recent,post,3hmjb67c5k36h,4.198168055555556,other,health,health,health,health,health,health,health,health,"這是最新的
血糖糖化血色素的標準",,
